vehicle_brand,model_name,manufacturing_year,kilometres_driven,vehicle_condition,vehicle_type,body_type,engine_capacity,engine_cylinders,transmission_type,drive_type,fuel_type,fuel_consumption,doors,seats,location,state,vehicle_age,km_per_year,desc_len,is_new_vehicle,fuel_efficiency_score,engine_power_index,brand_tier,location_coarse,model_name_freq,location_coarse_freq
honda,other,2014.0,38229.0,used,hatchback,hatchback,4.0,4.0,automatic,front,hybrid,4.5,5.0,5.0,"lidcombe, nsw",nsw,12.0,3185.75,22,0,0.2222222222222222,16.0,budget,"lidcombe,",0.398677912012765,0.009231821290175518
ford,ranger,2013.0,133168.0,used,ute / tray,ute / tray,5.0,5.0,automatic,4wd,diesel,9.2,2.0,2.0,other,qld,13.0,10243.692307692309,29,0,0.10869565217391305,25.0,mid,other,0.024048324595395486,0.64497378618646
porsche,other,1978.0,145600.0,used,convertible,convertible,6.0,6.0,manual,rear,leaded,8.0,2.0,4.0,other,nsw,48.0,3033.3333333333335,19,0,0.125,36.0,premium,other,0.398677912012765,0.64497378618646
honda,other,2006.0,209508.0,used,sedan,sedan,6.0,6.0,automatic,front,unleaded,10.6,4.0,5.0,other,nsw,20.0,10475.4,27,0,0.09433962264150944,36.0,budget,other,0.398677912012765,0.64497378618646
kia,other,2012.0,134686.0,used,suv,suv,4.0,4.0,automatic,awd,diesel,7.3,4.0,7.0,"ringwood, vic",vic,14.0,9620.42857142857,31,0,0.136986301369863,16.0,budget,"ringwood,",0.398677912012765,0.02062913152496011
nissan,other,2011.0,119674.0,used,hatchback,hatchback,3.0,3.0,automatic,front,unleaded,6.5,5.0,5.0,other,nsw,15.0,7978.266666666666,20,0,0.15384615384615385,9.0,mid,other,0.398677912012765,0.64497378618646
toyota,kluger,2015.0,86329.0,used,suv,suv,6.0,6.0,automatic,front,unleaded,10.2,4.0,7.0,"fyshwick, act",act,11.0,7848.090909090909,28,0,0.09803921568627452,36.0,mid,"fyshwick,",0.0111693640300889,0.010143606108958286
ford,falcon,2015.0,61809.0,used,sedan,sedan,8.0,8.0,manual,rear,unleaded,13.6,4.0,5.0,"rozelle, nsw",nsw,11.0,5619.0,20,0,0.07352941176470588,64.0,mid,"rozelle,",0.012081148848871666,0.0063824937314793705
mitsubishi,triton,2017.0,219047.0,used,ute / tray,ute / tray,4.0,4.0,automatic,rear,diesel,7.3,2.0,2.0,"blacktown, nsw",nsw,9.0,24338.555555555555,26,0,0.136986301369863,16.0,mid,"blacktown,",0.018577615682698882,0.016070207431046275
nissan,navara,2005.0,274360.0,used,ute / tray,ute / tray,4.0,4.0,manual,4wd,diesel,9.8,4.0,5.0,"hoppers crossing, vic",vic,21.0,13064.761904761905,29,0,0.1020408163265306,16.0,mid,hoppers,0.02005926601322088,0.009687713699566902
